timestamp,user,ip_address,location,device_id,device_type,operating_system,browser,application,event_type,result,mfa_status,vpn_flag
2026-03-01 08:04:00,mlee@company.com,34.226.10.55,"Seattle, US",device_105,laptop,Windows,Edge,VPNPortal,login,success,passed,false
2026-03-01 08:05:00,mlee@company.com,34.226.10.55,"Seattle, US",device_105,laptop,Windows,Edge,VPNPortal,token_issue,success,passed,false
2026-03-01 08:26:00,bjohnson@company.com,18.207.44.91,"Chicago, US",device_104,mobile,iOS,Safari,Office365,login,success,passed,false
2026-03-01 08:29:00,jdoe@company.com,18.207.44.91,"Boston, US",device_101,laptop,Windows,Chrome,Office365,login,success,passed,false
2026-03-01 09:16:00,jdoe@company.com,3.91.201.18,"Boston, US",device_101,laptop,Windows,Chrome,Office365,login,success,passed,false
2026-03-01 09:23:00,rkhatri@company.com,44.201.19.10,"Durham, US",device_103,laptop,Windows,Chrome,AzurePortal,login,success,passed,false
2026-03-01 09:26:00,rkhatri@company.com,103.154.232.8,"Berlin, DE",device_716,laptop,Windows,Chrome,AzurePortal,login,success,passed,false
2026-03-01 09:40:00,jdoe@company.com,3.91.201.18,"Boston, US",device_101,laptop,Windows,Chrome,Office365,login,success,passed,false
2026-03-01 09:43:00,rkhatri@company.com,3.91.201.18,"Durham, US",device_103,laptop,Windows,Chrome,AzurePortal,login,success,passed,false
2026-03-01 09:44:00,jdoe@company.com,3.91.201.18,"Dallas, US",device_101,laptop,Windows,Chrome,VPNPortal,login,success,passed,true
2026-03-01 11:24:00,jdoe@company.com,18.207.44.91,"Boston, US",device_101,laptop,Windows,Chrome,Office365,login,success,passed,false
2026-03-01 11:25:00,jdoe@company.com,18.207.44.91,"Boston, US",device_101,laptop,Windows,Chrome,Office365,token_issue,success,passed,false
2026-03-01 11:37:00,mlee@company.com,34.226.10.55,"Seattle, US",device_105,laptop,Windows,Edge,VPNPortal,login,success,passed,false
2026-03-01 11:38:00,mlee@company.com,34.226.10.55,"Seattle, US",device_105,laptop,Windows,Edge,VPNPortal,token_issue,success,passed,false
2026-03-01 11:57:00,bjohnson@company.com,3.91.201.18,"Chicago, US",device_104,mobile,iOS,Safari,Office365,login,success,passed,false
2026-03-01 11:58:00,bjohnson@company.com,3.91.201.18,"Chicago, US",device_104,mobile,iOS,Safari,Office365,token_issue,success,passed,false
2026-03-01 12:27:00,rkhatri@company.com,185.220.101.1,"Tokyo, JP",device_689,laptop,Windows,Chrome,AzurePortal,login,failure,failed,false
2026-03-01 12:28:00,rkhatri@company.com,185.220.101.1,"London, UK",device_472,laptop,Windows,Chrome,AzurePortal,login,failure,failed,false
2026-03-01 12:29:00,rkhatri@company.com,185.220.101.1,"Moscow, RU",device_670,laptop,Windows,Chrome,AzurePortal,login,failure,failed,false
2026-03-01 12:31:00,rkhatri@company.com,185.220.101.1,"Moscow, RU",device_835,laptop,Windows,Chrome,AzurePortal,login,success,passed,false
2026-03-01 13:00:00,mlee@company.com,91.214.124.22,"Berlin, DE",device_722,laptop,Windows,Chrome,VPNPortal,login,failure,failed,false
2026-03-01 13:01:00,mlee@company.com,91.214.124.22,"Tokyo, JP",device_731,laptop,Windows,Chrome,VPNPortal,login,failure,failed,false
2026-03-01 13:02:00,mlee@company.com,91.214.124.22,"Berlin, DE",device_813,laptop,Windows,Chrome,VPNPortal,login,failure,failed,false
2026-03-01 13:04:00,mlee@company.com,91.214.124.22,"Berlin, DE",device_955,laptop,Windows,Chrome,VPNPortal,login,success,passed,false
2026-03-01 13:13:00,rkhatri@company.com,52.14.22.11,"Durham, US",device_103,laptop,Windows,Chrome,AzurePortal,login,success,passed,false
2026-03-01 13:14:00,rkhatri@company.com,52.14.22.11,"Durham, US",device_103,laptop,Windows,Chrome,AzurePortal,token_issue,success,passed,false
2026-03-01 15:26:00,jdoe@company.com,44.201.19.10,"Boston, US",device_101,laptop,Windows,Chrome,Office365,login,success,passed,false
2026-03-01 15:30:00,jdoe@company.com,3.91.201.18,"Amsterdam, NL",device_101,laptop,Windows,Chrome,VPNPortal,login,success,passed,true
2026-03-01 16:19:00,mlee@company.com,18.207.44.91,"Seattle, US",device_105,laptop,Windows,Edge,VPNPortal,login,success,passed,false
2026-03-01 16:20:00,mlee@company.com,18.207.44.91,"Seattle, US",device_105,laptop,Windows,Edge,VPNPortal,token_issue,success,passed,false
2026-03-01 17:41:00,jdoe@company.com,52.14.22.11,"Boston, US",device_101,laptop,Windows,Chrome,Office365,login,success,passed,false
2026-03-01 17:42:00,jdoe@company.com,52.14.22.11,"Boston, US",device_101,laptop,Windows,Chrome,Office365,token_issue,success,passed,false
2026-03-01 18:22:00,asmith@company.com,34.226.10.55,"New York, US",device_102,laptop,MacOS,Safari,Office365,login,success,passed,false
